"countyCode","population","total.Under.5.years","percent.Under.5.years","total.5.to.9.years","percent.5.to.9.years","total.10.to.14.years","percent.10.to.14.years","total.15.to.19.years","percent.15.to.19.years","total.20.to.24.years","percent.20.to.24.years","total.25.to.29.years","percent.25.to.29.years","total.30.to.34.years","percent.30.to.34.years","total.35.to.39.years","percent.35.to.39.years","total.40.to.44.years","percent.40.to.44.years","total.45.to.49.years","percent.45.to.49.years","total.50.to.54.years","percent.50.to.54.years","total.55.to.59.years","percent.55.to.59.years","total.60.to.64.years","percent.60.to.64.years","total.65.to.69.years","percent.65.to.69.years","total.70.to.74.years","percent.70.to.74.years","total.75.to.79.years","percent.75.to.79.years","total.80.to.84.years","percent.80.to.84.years","total.85.years.and.over","percent.85.years.and.over"
"1","01117",215707,11944,5.5,13094,6.1,14757,6.8,14395,6.7,12128,5.6,14154,6.6,12736,5.9,13135,6.1,17909,8.3,16279,7.5,13886,6.4,14192,6.6,13803,6.4,11940,5.5,8412,3.9,6232,2.9,3686,1.7,3025,1.4
"2","01121",79828,4250,5.3,4635,5.8,4782,6,5644,7.1,4242,5.3,5479,6.9,4388,5.5,4629,5.8,5385,6.7,5331,6.7,5465,6.8,5119,6.4,6057,7.6,4531,5.7,4226,5.3,2482,3.1,1910,2.4,1273,1.6
"3","01125",208911,11789,5.6,11636,5.6,12544,6,22371,10.7,19909,9.5,16977,8.1,14200,6.8,13381,6.4,11566,5.5,11933,5.7,11307,5.4,11866,5.7,11960,5.7,9310,4.5,7501,3.6,5411,2.6,2713,1.3,2537,1.2
"4","04021",447138,25176,5.6,27911,6.2,31371,7,26887,6,26780,6,26290,5.9,29818,6.7,30931,6.9,28421,6.4,26002,5.8,23109,5.2,25808,5.8,27809,6.2,27844,6.2,27162,6.1,18482,4.1,11173,2.5,6164,1.4
"5","06045",87606,5089,5.8,5734,6.5,4842,5.5,5193,5.9,5363,6.1,3593,4.1,5010,5.7,4358,5,5863,6.7,5178,5.9,5271,6,6144,7,6896,7.9,6576,7.5,5744,6.6,2860,3.3,2417,2.8,1475,1.7
"6","06059",3185968,187424,5.9,176525,5.5,211447,6.6,205379,6.4,210595,6.6,243175,7.6,216675,6.8,214199,6.7,199120,6.2,224484,7,221335,6.9,216108,6.8,188276,5.9,142280,4.5,124254,3.9,80776,2.5,58499,1.8,65417,2.1
"7","06067",1540975,98854,6.4,97945,6.4,106610,6.9,95824,6.2,96515,6.3,123506,8,117870,7.6,112834,7.3,93049,6,97367,6.3,94527,6.1,95497,6.2,93133,6,70410,4.6,57822,3.8,36056,2.3,25650,1.7,27506,1.8
"8","12017",147929,5753,3.9,5928,4,6220,4.2,6485,4.4,5444,3.7,6515,4.4,5665,3.8,5263,3.6,6164,4.2,7418,5,8732,5.9,10063,6.8,14447,9.8,16405,11.1,13054,8.8,10321,7,7242,4.9,6810,4.6
"9","17143",180621,12419,6.9,10652,5.9,12383,6.9,11689,6.5,11909,6.6,11865,6.6,12177,6.7,12134,6.7,9685,5.4,10790,6,10929,6.1,11092,6.1,12696,7,9622,5.3,7828,4.3,4479,2.5,3712,2.1,4560,2.5
"10","18059",76351,4588,6,4658,6.1,5570,7.3,3966,5.2,4343,5.7,4937,6.5,4637,6.1,7314,9.6,2713,3.6,5218,6.8,5209,6.8,6172,8.1,4078,5.3,3932,5.1,4173,5.5,2182,2.9,1487,1.9,1174,1.5
"11","18067",82366,5046,6.1,5503,6.7,5083,6.2,4596,5.6,4583,5.6,4970,6,5157,6.3,5011,6.1,4653,5.6,4951,6,5568,6.8,6082,7.4,5246,6.4,4473,5.4,4541,5.5,3117,3.8,1423,1.7,2363,2.9
"12","22105",133777,9594,7.2,8307,6.2,9991,7.5,9243,6.9,9972,7.5,10186,7.6,7866,5.9,9309,7,7178,5.4,9053,6.8,7611,5.7,8599,6.4,7781,5.8,7124,5.3,4882,3.6,3217,2.4,2548,1.9,1316,1
"13","25003",126348,5001,4,5881,4.7,6026,4.8,7914,6.3,8430,6.7,6956,5.5,6738,5.3,7324,5.8,5489,4.3,7488,5.9,9249,7.3,9994,7.9,10619,8.4,9169,7.3,7449,5.9,5491,4.3,3301,2.6,3829,3
"14","27139",147381,9856,6.7,11737,8,11954,8.1,10387,7,7941,5.4,7766,5.3,10007,6.8,11754,8,10195,6.9,11186,7.6,10843,7.4,10080,6.8,7383,5,6052,4.1,3803,2.6,2846,1.9,1592,1.1,1999,1.4
"15","36087",325695,26348,8.1,24313,7.5,25878,7.9,23812,7.3,21799,6.7,19494,6,17307,5.3,19074,5.9,17369,5.3,18912,5.8,20786,6.4,19836,6.1,19658,6,16287,5,11666,3.6,7409,2.3,7871,2.4,7876,2.4
"16","36105",75498,4167,5.5,4242,5.6,4733,6.3,5280,7,3693,4.9,4397,5.8,4065,5.4,4774,6.3,3733,4.9,5364,7.1,5654,7.5,5987,7.9,5211,6.9,4532,6,3838,5.1,3068,4.1,1643,2.2,1117,1.5
"17","37037",73139,3762,5.1,3904,5.3,4794,6.6,3537,4.8,3925,5.4,3289,4.5,3310,4.5,3824,5.2,3798,5.2,5164,7.1,5337,7.3,5260,7.2,5359,7.3,5260,7.2,5022,6.9,3194,4.4,1560,2.1,2840,3.9
"18","37085",134214,9796,7.3,10069,7.5,9652,7.2,8945,6.7,8640,6.4,10104,7.5,10018,7.5,8768,6.5,9864,7.3,8399,6.3,8294,6.2,7945,5.9,6679,5,5383,4,4796,3.6,3595,2.7,1887,1.4,1380,1
"19","37195",81455,4833,5.9,5553,6.8,5196,6.4,6691,8.2,3801,4.7,4726,5.8,4810,5.9,3817,4.7,5857,7.2,4601,5.6,5336,6.6,5484,6.7,5946,7.3,6097,7.5,2778,3.4,2165,2.7,2263,2.8,1501,1.8
"20","39007",97493,5783,5.9,5705,5.9,6492,6.7,5220,5.4,5759,5.9,5920,6.1,5219,5.4,6300,6.5,4264,4.4,6078,6.2,7340,7.5,6912,7.1,7932,8.1,6301,6.5,4539,4.7,3478,3.6,1970,2,2281,2.3
"21","39013",67505,3579,5.3,3178,4.7,3987,5.9,3544,5.2,3340,4.9,4519,6.7,3697,5.5,3828,5.7,3993,5.9,4500,6.7,4249,6.3,5003,7.4,5738,8.5,4631,6.9,3689,5.5,2297,3.4,1664,2.5,2069,3.1
"22","40031",120422,8170,6.8,7029,5.8,8739,7.3,8252,6.9,11095,9.2,10691,8.9,8652,7.2,8599,7.1,6115,5.1,6716,5.6,7215,6,6759,5.6,7167,6,4993,4.1,3949,3.3,2479,2.1,1929,1.6,1873,1.6
"23","42013",122492,6104,5,7542,6.2,6223,5.1,7529,6.1,6721,5.5,7855,6.4,6828,5.6,6694,5.5,7185,5.9,8139,6.6,8409,6.9,9566,7.8,8204,6.7,7883,6.4,6277,5.1,4903,4,3285,2.7,3145,2.6
