,X,fit
0,1,0.043241086081885975
1,2,0.08793626240008262
2,3,0.11281203161057111
3,4,0.11984620392111195
4,5,0.11481704201127645
5,6,0.10303779850953744
6,7,0.08838810732698411
7,8,0.07335847658381352
8,9,0.059368179320619
9,10,0.04709960297418547
10,11,0.03676975319341561
11,12,0.028326461988060117
12,13,0.02157979013037207
13,14,0.01628450148249597
14,15,0.012188328396005482
15,16,0.009057655701841635
16,17,0.0066890637878405995
17,18,0.004912517444515571
18,19,0.0035899875076854555
19,20,0.00261187562401121
20,21,0.0018926534922272976
21,22,0.0013665037616940037
22,23,0.0009833589496253594
23,24,0.0007055004928478544
24,25,0.0005047473493267796
25,26,0.00036019449830037014
26,27,0.00025643097846146353
27,28,0.00018215839753599907
28,29,0.00012913388475655412
29,30,9.137002567110191e-05
30,31,6.453481448924793e-05
31,32,4.550512156571262e-05
32,33,3.2036639702523466e-05
33,34,2.2521363425227883e-05
34,35,1.5810313927543983e-05
35,36,1.1084556405313126e-05
36,37,7.761743394131559e-06
37,38,5.428652222755275e-06
38,39,3.7926515349940574e-06
39,40,2.6468933686436837e-06
40,41,1.8454195791373813e-06
41,42,1.2854048518284043e-06
42,43,8.945206224835869e-07
43,44,6.21962967127753e-07
44,45,4.3209511397644277e-07
45,46,2.99951225481625e-07
46,47,2.0806218744841097e-07
47,48,1.4421842826883062e-07
48,49,9.989561450051801e-08
49,50,6.914843484257451e-08
50,51,4.783436673732272e-08
51,52,3.3069699858199724e-08
52,53,2.284879057723013e-08
53,54,1.577787599778192e-08
54,55,1.0889183239102392e-08
55,56,7.511248267930484e-09
56,57,5.178537336576376e-09
57,58,3.5685189448866363e-09
58,59,2.457888184431719e-09
59,60,1.692140453892629e-09
60,61,1.1644409563763386e-09
61,62,8.009614203285274e-10
62,63,5.507122892557035e-10
63,64,3.784972093054423e-10
64,65,2.6003438168022985e-10
65,66,1.7858058060191885e-10
66,67,1.2259648063201301e-10
67,68,8.413308678830905e-11
68,69,5.7717194818798505e-11
69,70,3.958197940138769e-11
70,71,2.713612602891539e-11
71,72,1.8597741357820588e-11
72,73,1.2742022954828117e-11
73,74,8.727423232485959e-12
74,75,5.9759460845843955e-12
75,76,4.0907566745466165e-12
76,77,2.7994982580135833e-12
77,78,1.9153116054937265e-12
78,79,1.310039385222892e-12
79,80,8.958139369784864e-13
80,81,6.124104548693372e-13
81,82,4.1856350950314705e-13
82,83,2.8600701641321967e-13
83,84,1.9538492177728723e-13
84,85,1.334463891855409e-13
85,86,9.112264944353724e-14
86,87,6.22087974258376e-14
87,88,4.246052686798489e-14
88,89,2.897537956952589e-14
89,90,1.9769017153792666e-14
90,91,1.3485130472022067e-14
91,92,9.196895126774474e-15
92,93,6.271120398603301e-15
93,94,4.2753199803247395e-15
94,95,2.9141600022722973e-15
95,96,1.9860084560066926e-15
