"countyCode","weighted_fatality"
"1","01117",0.01012902
"2","01121",0.01206008
"3","01125",0.00873566
"4","04021",0.01255466
"5","06045",0.0137165
"6","06059",0.01035968
"7","06067",0.00979302
"8","12017",0.02248124
"9","17143",0.0115124
"10","18059",0.01095612
"11","18067",0.01278664
"12","22105",0.00926782
"13","25003",0.0150628
"14","27139",0.007854
"15","36087",0.01094944
"16","36105",0.0122109
"17","37037",0.01570372
"18","37085",0.00852
"19","37195",0.0117626
"20","39007",0.01261982
"21","39013",0.01427906
"22","40031",0.00898824
"23","42013",0.01365496
"24","42039",0.01344728
"25","42051",0.01411234
"26","47113",0.01145894
"27","48027",0.0074628
"28","48061",0.0092915
"29","49057",0.00790964
"30","51165",0.0130817
"31","51700",0.00907988
"32","51710",0.00781204
"33","51810",0.0095114
"34","53007",0.01233704
"35","01015",0.01137912
"36","08005",0.00889582
"37","13013",0.00837338
"38","13157",0.0096504
"39","13245",0.00964078
"40","13285",0.00955856
"41","19061",0.01223434
"42","21227",0.00864888
"43","27019",0.0083068
"44","28075",0.01105608
"45","28081",0.01026064
"46","28121",0.00986606
"47","36111",0.01306794
"48","37183",0.00802474
"49","39093",0.01217688
"50","40119",0.00889026
"51","40131",0.01095052
"52","42081",0.01279882
"53","45015",0.00915196
"54","45085",0.01077216
"55","47147",0.00989378
"56","48085",0.00773248
"57","49045",0.00673266
"58","53041",0.01352546
"59","53053",0.0091599
"60","54061",0.00864454
"61","55009",0.01004746
"62","06115",0.00852482
"63","13051",0.01018384
"64","13063",0.00637704
"65","13113",0.01165176
"66","13223",0.00712246
"67","17043",0.01068444
"68","17089",0.00911866
"69","18089",0.01120876
"70","21059",0.011335
"71","21185",0.00886962
"72","25009",0.01174596
"73","26163",0.01063748
"74","29165",0.00958676
"75","36053",0.01183922
"76","37159",0.01102246
"77","39029",0.01325692
"78","41059",0.01001602
"79","42045",0.01143652
"80","42073",0.01442214
"81","47157",0.00917402
"82","04003",0.01419632
"83","04005",0.008137
"84","06023",0.01180248
"85","06039",0.009677
"86","12097",0.00863388
"87","13059",0.0077634
"88","13313",0.0093211
"89","16019",0.00865796
"90","22109",0.0094992
"91","24015",0.01089916
"92","24037",0.00924058
"93","25001",0.01912866
"94","25021",0.01156616
"95","27163",0.01007184
"96","34033",0.01214462
"97","34035",0.01112196
"98","36081",0.01082792
"99","36119",0.01196
"100","37109",0.0107487
"101","42003",0.01276056
"102","45035",0.00932186
"103","48231",0.01050546
"104","51650",0.0103462
"105","01077",0.01319146
"106","09011",0.01237704
"107","17167",0.0117379
"108","21111",0.01090406
"109","21151",0.00925682
"110","22015",0.00945366
"111","24009",0.01030748
"112","26025",0.01229118
"113","34025",0.01204078
"114","37119",0.00787914
"115","39055",0.01363126
"116","39119",0.01163236
"117","41043",0.01231174
"118","42017",0.01253762
"119","42095",0.0126892
"120","45075",0.01167984
"121","48029",0.00827634
"122","48091",0.0119572
"123","48361",0.01119596
"124","48497",0.01022704
"125","53009",0.01777122
"126","72021",0.01494172
"127","72137",0.01323804
"128","04025",0.01913486
"129","13097",0.0081278
"130","13135",0.00729596
"131","15007",0.01328196
"132","16027",0.00927976
"133","18019",0.01027716
"134","19013",0.0105182
"135","21015",0.00907642
"136","22051",0.01142548
"137","23031",0.01361706
"138","24027",0.00938616
"139","24031",0.01068068
"140","27053",0.00954384
"141","28067",0.0112675
"142","29510",0.00970256
"143","34013",0.00962284
"144","34021",0.01035038
"145","36113",0.0147374
"146","36117",0.01297702
"147","37129",0.01159588
"148","39081",0.01416478
"149","42085",0.01467458
"150","42111",0.01467276
"151","51800",0.00978966
"152","53033",0.0090664
"153","54033",0.01310182
"154","06111",0.01058998
"155","09005",0.01392344
"156","09007",0.01364634
"157","12023",0.01236138
"158","13047",0.01192998
"159","13247",0.00974436
"160","13297",0.0100194
"161","16005",0.00926012
"162","24003",0.01009808
"163","28033",0.00901996
"164","29097",0.01050016
"165","30029",0.01240038
"166","35001",0.0109973
"167","36005",0.00912438
"168","37019",0.01796746
"169","37021",0.01297198
"170","37127",0.01211716
"171","37193",0.01409382
"172","39035",0.01223486
"173","39061",0.01050132
"174","39165",0.00993166
"175","40017",0.00894898
"176","42029",0.01110662
"177","42077",0.01156292
"178","45063",0.01060712
"179","47119",0.01032036
"180","47189",0.01029072
"181","48203",0.01038258
"182","51041",0.00980486
"183","55131",0.01240168
"184","09003",0.01177332
"185","12033",0.01131284
"186","18039",0.00998286
"187","18109",0.01117724
"188","19049",0.00776878
"189","23011",0.01350428
"190","26049",0.01169522
"191","26087",0.01196102
"192","26145",0.01291968
"193","30013",0.012368
"194","32003",0.009762
"195","36007",0.0133015
"196","36027",0.0120848
"197","37023",0.01310032
"198","37035",0.01208292
"199","37125",0.01523174
"200","39009",0.00851744
"201","39023",0.01272678
"202","39099",0.01399562
"203","45051",0.01435734
"204","47093",0.01045836
"205","51061",0.01114646
"206","72127",0.01534696
"207","01069",0.01171522
"208","06083",0.01048626
"209","10003",0.01035068
"210","12113",0.01061554
"211","13295",0.01214682
"212","20091",0.00975498
"213","25017",0.0106476
"214","25025",0.00810764
"215","26055",0.01284412
"216","27137",0.01284658
"217","31153",0.00848236
"218","33011",0.01089692
"219","34017",0.0084477
"220","37025",0.00919802
"221","38015",0.01076144
"222","39085",0.01359002
"223","39153",0.01203834
"224","40037",0.01177772
"225","41039",0.01218244
"226","42001",0.0133846
"227","42041",0.0122675
"228","47065",0.01187314
"229","47179",0.01212296
"230","49005",0.00622284
"231","53015",0.01242292
"232","54081",0.01280912
"233","72013",0.01406544
"234","01103",0.0119641
"235","06031",0.0072971
"236","06089",0.01357772
"237","12073",0.00872388
"238","12103",0.01646008
"239","17093",0.00749668
"240","26017",0.01343164
"241","26159",0.01180838
"242","32031",0.01061576
"243","33013",0.01237718
"244","39045",0.01074508
"245","45041",0.0107509
"246","48005",0.01097544
"247","53057",0.01341862
"248","53067",0.01108272
"249","54039",0.01326328
"250","55025",0.00933268
"251","01097",0.01069054
"252","06013",0.01081214
"253","12083",0.01795782
"254","12091",0.01081302
"255","12117",0.01066056
"256","13073",0.00936628
"257","13095",0.01032218
"258","13151",0.0080049
"259","13153",0.00842542
"260","17183",0.0128897
"261","17197",0.00915274
"262","18141",0.01067954
"263","19163",0.01072192
"264","23019",0.01248302
"265","26111",0.0124372
"266","26115",0.01218088
"267","27145",0.01027352
"268","35061",0.01188162
"269","36101",0.01277914
"270","37097",0.0104702
"271","38017",0.00888782
"272","38101",0.00858902
"273","41051",0.00887896
"274","42021",0.01487664
"275","48485",0.00984106
"276","51015",0.01427672
"277","51550",0.00909784
"278","51770",0.01131086
"279","54011",0.0118543
"280","55141",0.01344858
"281","72061",0.01569038
"282","01083",0.01073102
"283","05051",0.01540694
"284","08069",0.01013098
"285","12035",0.01982506
"286","17201",0.01182508
"287","24025",0.01139572
"288","30031",0.00841616
"289","37157",0.01350364
"290","39155",0.0142663
"291","42019",0.01285702
"292","42049",0.01219298
"293","42079",0.01347592
"294","45055",0.01187904
"295","51107",0.00681028
"296","72135",0.00996246
"297","01073",0.0106641
"298","04013",0.01011646
"299","05069",0.01165488
"300","05145",0.01074246
"301","06079",0.01298484
"302","08014",0.0092366
"303","09009",0.0119287
"304","12061",0.02091286
"305","13021",0.01048074
"306","13089",0.0083786
"307","13127",0.01255202
"308","16001",0.00936758
"309","17111",0.00998784
"310","17179",0.01303956
"311","18053",0.01280908
"312","18081",0.00947284
"313","19103",0.00797474
"314","26099",0.01159672
"315","27131",0.01051554
"316","29051",0.01075112
"317","29071",0.01163888
"318","33017",0.01019812
"319","36067",0.01173826
"320","36069",0.01302858
"321","37069",0.01031918
"322","37161",0.01373702
"323","39169",0.01136178
"324","41019",0.01557642
"325","42055",0.0125043
"326","42133",0.01178674
"327","44007",0.01087224
"328","45013",0.01643414
"329","47125",0.0066647
"330","47165",0.01046622
"331","48251",0.00900318
"332","48309",0.00964002
"333","48397",0.0084265
"334","48409",0.00961326
"335","49049",0.00542296
"336","51179",0.00689914
"337","51510",0.00876284
"338","53077",0.00915092
"339","72025",0.013615
"340","01089",0.01044968
"341","06087",0.01046018
"342","12085",0.02081986
"343","15003",0.0121441
"344","16055",0.0119455
"345","17113",0.0090506
"346","17161",0.01238164
"347","18157",0.0077567
"348","18177",0.01271808
"349","19193",0.01071002
"350","21145",0.01442798
"351","22073",0.01011884
"352","23001",0.01155188
"353","27037",0.00954298
"354","27123",0.0099842
"355","36015",0.01276098
"356","42097",0.0143927
"357","46103",0.01236918
"358","48037",0.01082398
"359","48141",0.00849066
"360","49053",0.0135224
"361","51003",0.01254746
"362","51680",0.01025224
"363","53063",0.0107573
"364","55097",0.01096272
"365","01043",0.012549
"366","06037",0.00949774
"367","06061",0.0128597
"368","09013",0.01079752
"369","10005",0.01657638
"370","13031",0.00769396
"371","13115",0.01133122
"372","13217",0.00888934
"373","17031",0.0100314
"374","21047",0.00837016
"375","25011",0.0146769
"376","25013",0.01137044
"377","26155",0.01229398
"378","29047",0.00953266
"379","30063",0.0099168
"380","30111",0.0114301
"381","36045",0.0091825
"382","39063",0.01178006
"383","39151",0.01272712
"384","42005",0.01470444
"385","48139",0.00835006
"386","48201",0.00738458
"387","48291",0.00842566
"388","48479",0.0065347
"389","51095",0.01653116
"390","51161",0.0134755
"391","55059",0.0098607
"392","06033",0.01318282
"393","06075",0.01085286
"394","08123",0.00832504
"395","12005",0.01142604
"396","13015",0.0094984
"397","20015",0.01062244
"398","20103",0.01037382
"399","20161",0.00639722
"400","25015",0.01128556
"401","29031",0.01130526
"402","36001",0.0113684
"403","36029",0.01233772
"404","37045",0.01236596
"405","39109",0.01230326
"406","39145",0.0117623
"407","41005",0.0118376
"408","45077",0.01067388
"409","47163",0.014467
"410","53027",0.01341166
"411","72139",0.01289508
"412","05031",0.00918586
"413","06071",0.00801904
"414","12099",0.01616534
"415","12107",0.0144044
"416","13117",0.0081673
"417","13121",0.00819944
"418","17097",0.0098621
"419","20173",0.00991838
"420","26005",0.01092796
"421","26081",0.00935442
"422","29037",0.01182366
"423","29189",0.01227862
"424","34005",0.01171844
"425","34007",0.01068428
"426","35035",0.01006502
"427","37071",0.010654
"428","37171",0.01349762
"429","42091",0.01202018
"430","46099",0.00911294
"431","47149",0.0072391
"432","47187",0.00909094
"433","48183",0.01082558
"434","48347",0.00940798
"435","48439",0.00804068
"436","51069",0.0114243
"437","55089",0.01310372
"438","55133",0.01279298
"439","06065",0.00978934
"440","06085",0.00949322
"441","06099",0.0088503
"442","08101",0.01234642
"443","12053",0.01757766
"444","12101",0.0144614
"445","12115",0.02335092
"446","12119",0.0312519
"447","18011",0.0094694
"448","26091",0.01182296
"449","29183",0.0103989
"450","29187",0.01181728
"451","36059",0.01239256
"452","36071",0.00970298
"453","37133",0.00625528
"454","39113",0.01211862
"455","45045",0.01045362
"456","47059",0.01387784
"457","48041",0.00610778
"458","48209",0.00735774
"459","51059",0.0091606
"460","12081",0.01735256
"461","13057",0.00934398
"462","13215",0.0093785
"463","15001",0.01312482
"464","18127",0.0108621
"465","22057",0.0106397
"466","24510",0.00962492
"467","36083",0.01119884
"468","37057",0.01214548
"469","39089",0.01121412
"470","41029",0.01389616
"471","42063",0.0133792
"472","45007",0.01141024
"473","48135",0.00726832
"474","48423",0.01067242
"475","48469",0.01080384
"476","55127",0.0115616
"477","01127",0.01202588
"478","05007",0.00891192
"479","06101",0.0106888
"480","08001",0.00739552
"481","12087",0.01359698
"482","12095",0.00839844
"483","13077",0.00928334
"484","17099",0.0127323
"485","19113",0.0110544
"486","27013",0.0096337
"487","28047",0.00983478
"488","28049",0.00941296
"489","29099",0.01014572
"490","33009",0.01350802
"491","36013",0.01334434
"492","37067",0.01075396
"493","39025",0.01092108
"494","39041",0.00922864
"495","39049",0.00841656
"496","39103",0.01170822
"497","47011",0.01129732
"498","48021",0.00966396
"499","48355",0.00953738
"500","53005",0.01002524
"501","53073",0.0111802
"502","04001",0.00997418
"503","04015",0.01836944
"504","04019",0.01264684
"505","05143",0.00781516
"506","06095",0.01061016
"507","11001",0.0085219
"508","12109",0.01295672
"509","16083",0.01041308
"510","17115",0.01349408
"511","18167",0.01071434
"512","21037",0.01076366
"513","22019",0.0102087
"514","22097",0.0103104
"515","25023",0.01205882
"516","29043",0.01039156
"517","30049",0.01174648
"518","35025",0.00746032
"519","39157",0.01283638
"520","40125",0.01120208
"521","45091",0.00955062
"522","48441",0.00988342
"523","48471",0.00906694
"524","50007",0.01054366
"525","51740",0.0100036
"526","54107",0.01298664
"527","56025",0.0101843
"528","01055",0.01220654
"529","01081",0.00819888
"530","02020",0.00771558
"531","08031",0.00787722
"532","12021",0.02063882
"533","12086",0.01133396
"534","18097",0.0087284
"535","20045",0.0083928
"536","22063",0.00895176
"537","26037",0.0110967
"538","28059",0.01083268
"539","36019",0.01156316
"540","36061",0.01109702
"541","36091",0.01173434
"542","37001",0.01147842
"543","37101",0.00922726
"544","37135",0.00893034
"545","37179",0.00848898
"546","38035",0.0086552
"547","39017",0.0099663
"548","41017",0.0128047
"549","42033",0.01343356
"550","45057",0.01243634
"551","47009",0.01318676
"552","48121",0.00727298
"553","48375",0.0082511
"554","48453",0.0069994
"555","49011",0.00706862
"556","51013",0.0074341
"557","01101",0.01019908
"558","06073",0.00962722
"559","06077",0.008679
"560","10001",0.01115544
"561","12111",0.01531688
"562","13185",0.00831014
"563","17001",0.01310336
"564","17037",0.00879724
"565","17199",0.01206686
"566","18063",0.00968456
"567","19155",0.0117326
"568","24021",0.00988788
"569","24033",0.00900116
"570","26045",0.0120064
"571","26075",0.0118236
"572","26121",0.0112966
"573","26139",0.00990326
"574","27003",0.00945806
"575","31055",0.00906048
"576","31109",0.00915658
"577","33005",0.01275976
"578","34011",0.01024062
"579","35049",0.01467668
"580","37051",0.00813296
"581","42075",0.01321412
"582","47037",0.0082863
"583","48113",0.0075912
"584","48167",0.00949748
"585","51153",0.00708902
"586","51199",0.0111937
"587","53011",0.01019846
"588","55117",0.01191466
"589","56021",0.01046754
"590","06053",0.00942002
"591","08035",0.00812498
"592","12031",0.00946486
"593","13255",0.01136358
"594","18003",0.00967282
"595","22005",0.0080293
"596","26161",0.00928584
"597","28089",0.00927984
"598","29021",0.01128096
"599","29077",0.01087952
"600","34015",0.01109778
"601","34029",0.014943
"602","34039",0.01005284
"603","36009",0.01247012
"604","36055",0.01180284
"605","36109",0.00973388
"606","37027",0.01298488
"607","37063",0.00890752
"608","37191",0.01146882
"609","41003",0.01009866
"610","41067",0.00902466
"611","42025",0.01430828
"612","42069",0.01356092
"613","45003",0.01246132
"614","48213",0.0139188
"615","49035",0.00756916
"616","51177",0.0092241
"617","01051",0.0101938
"618","01115",0.01061168
"619","05131",0.0104493
"620","06055",0.01234728
"621","08059",0.01111936
