,Country,lockdown
0,23029,2020-04-01
1,13191,2020-04-03
2,13179,2020-04-03
3,60040,NA
4,60020,NA
5,60050,NA
6,60010,NA
7,72011,NA
8,72015,NA
9,72017,NA
10,72019,NA
11,72021,NA
12,72025,NA
13,72029,NA
14,72035,NA
15,72037,NA
16,72039,NA
17,72041,NA
18,72043,NA
19,72045,NA
20,72047,NA
21,72054,NA
22,72055,NA
23,72057,NA
24,72059,NA
25,72061,NA
26,72063,NA
27,72065,NA
28,72067,NA
29,72097,NA
30,72103,NA
31,72073,NA
32,72075,NA
33,72077,NA
34,72079,NA
35,72081,NA
36,72085,NA
37,72091,NA
38,72093,NA
39,72095,NA
40,72099,NA
41,72101,NA
42,72105,NA
43,72107,NA
44,72109,NA
45,72111,NA
46,72113,NA
47,72121,NA
48,72123,NA
49,72125,NA
50,72127,NA
51,72129,NA
52,72133,NA
53,72139,NA
54,72141,NA
55,72143,NA
56,72149,NA
57,72151,NA
58,72153,NA
59,72131,NA
60,72001,NA
61,72007,NA
62,72009,NA
63,78010,NA
64,72013,NA
65,72083,NA
66,72117,NA
67,72005,NA
68,72071,NA
69,72027,NA
70,72051,NA
71,72135,NA
72,72003,NA
73,72049,NA
74,72023,NA
75,72053,NA
76,72147,NA
77,72031,NA
78,78030,NA
79,72115,NA
80,72033,NA
81,72089,NA
82,72069,NA
83,78020,NA
84,72119,NA
85,72087,NA
86,66010,NA
87,69085,NA
88,69110,NA
89,69100,NA
90,69120,NA
91,09003,2020-03-23
92,09013,2020-03-23
93,09015,2020-03-23
94,25019,2020-03-24
95,24023,2020-03-30
96,50027,2020-03-24
97,33019,2020-03-28
98,33001,2020-03-28
99,33005,2020-03-28
100,33017,2020-03-28
101,36123,2020-03-22
102,36003,2020-03-22
103,36007,2020-03-22
104,36009,2020-03-22
105,36015,2020-03-22
106,36017,2020-03-22
107,36023,2020-03-22
108,36025,2020-03-22
109,36037,2020-03-22
110,36041,2020-03-22
111,36049,2020-03-22
112,36051,2020-03-22
113,36053,2020-03-22
114,36057,2020-03-22
115,36067,2020-03-22
116,36069,2020-03-22
117,36071,2020-03-22
118,36077,2020-03-22
119,36079,2020-03-22
120,36087,2020-03-22
121,36095,2020-03-22
122,36097,2020-03-22
123,36099,2020-03-22
124,36101,2020-03-22
125,36105,2020-03-22
126,36107,2020-03-22
127,36109,2020-03-22
128,36121,2020-03-22
129,42001,2020-04-01
130,42003,2020-04-01
131,42005,2020-04-01
132,42007,2020-04-01
133,42009,2020-04-01
134,42013,2020-04-01
135,42015,2020-04-01
136,42019,2020-04-01
137,42021,2020-04-01
138,42023,2020-04-01
139,42031,2020-04-01
140,42033,2020-04-01
141,42037,2020-04-01
142,42039,2020-04-01
143,42041,2020-04-01
144,42043,2020-04-01
145,42047,2020-04-01
146,42053,2020-04-01
147,42055,2020-04-01
148,42057,2020-04-01
149,42059,2020-04-01
150,42061,2020-04-01
151,42063,2020-04-01
152,42065,2020-04-01
153,42067,2020-04-01
154,42069,2020-04-01
155,42071,2020-04-01
156,42073,2020-04-01
157,42075,2020-04-01
158,42079,2020-04-01
159,42083,2020-04-01
160,42085,2020-04-01
161,42087,2020-04-01
162,42093,2020-04-01
163,42099,2020-04-01
164,42103,2020-04-01
165,42105,2020-04-01
166,42107,2020-04-01
167,42109,2020-04-01
168,42111,2020-04-01
169,42113,2020-04-01
170,42115,2020-04-01
171,42117,2020-04-01
172,42119,2020-04-01
173,42121,2020-04-01
174,42123,2020-04-01
175,42125,2020-04-01
176,42131,2020-04-01
177,42133,2020-04-01
178,44005,2020-03-28
179,51141,2020-03-30
180,51143,2020-03-30
181,51155,2020-03-30
182,51161,2020-03-30
183,51163,2020-03-30
184,51167,2020-03-30
185,51169,2020-03-30
186,51173,2020-03-30
187,51185,2020-03-30
188,51191,2020-03-30
189,51195,2020-03-30
190,51197,2020-03-30
191,51005,2020-03-30
192,51035,2020-03-30
193,51031,2020-03-30
194,51089,2020-03-30
195,51121,2020-03-30
196,51083,2020-03-30
197,51077,2020-03-30
198,51071,2020-03-30
199,51067,2020-03-30
200,51063,2020-03-30
201,51051,2020-03-30
202,51045,2020-03-30
203,51037,2020-03-30
204,51029,2020-03-30
205,51027,2020-03-30
206,51023,2020-03-30
207,51021,2020-03-30
208,51019,2020-03-30
209,51017,2020-03-30
210,51011,2020-03-30
211,51009,2020-03-30
212,51105,2020-03-30
213,50015,2020-03-24
214,50017,2020-03-24
215,50003,2020-03-24
216,50019,2020-03-24
217,50023,2020-03-24
218,50013,2020-03-24
219,54081,2020-03-24
220,54079,2020-03-24
221,54077,2020-03-24
222,54075,2020-03-24
223,54073,2020-03-24
224,54069,2020-03-24
225,54067,2020-03-24
226,54063,2020-03-24
227,54061,2020-03-24
228,54059,2020-03-24
229,54055,2020-03-24
230,54053,2020-03-24
231,54051,2020-03-24
232,54049,2020-03-24
233,54047,2020-03-24
234,54045,2020-03-24
