"state","countyCode","countyName","retail.recreation","grocery.pharmacy","parks","transitstations","workplace","residential","date"
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-01
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-02
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-03
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-04
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-05
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-06
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-07
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-08
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-09
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-10
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-11
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-12
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-13
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-14
"Illinois","17001","Adams",-0.03,-0.02,-0.31,-0.07,-0.06,0,2020-02-15
"Illinois","17005","Bond",-0.14,-0.05,-0.31,-0.07,-0.02,0,2020-02-15
"Illinois","17007","Boone",-0.14,-0.05,-0.31,-0.2,-0.03,0,2020-02-15
"Illinois","17011","Bureau",-0.13,-0.04,-0.31,-0.04,-0.07,0,2020-02-15
"Illinois","17015","Carroll",0.03,0.1,-0.31,-0.04,-0.02,0,2020-02-15
"Illinois","17017","Cass",-0.03,0.1,-0.31,-0.04,0.27,0,2020-02-15
"Illinois","17019","Champaign",-0.14,-0.08,-0.31,-0.04,-0.07,0,2020-02-15
"Illinois","17021","Christian",-0.01,-0.05,-0.17,0.09,-0.04,0.01,2020-02-15
"Illinois","17023","Clark",-0.04,0.05,-0.17,0.09,-0.04,0.01,2020-02-15
"Illinois","17025","Clay",0.04,0.05,-0.17,-0.03,0.03,0.01,2020-02-15
"Illinois","17027","Clinton",-0.05,0.05,-0.17,-0.03,0.03,0.01,2020-02-15
"Illinois","17029","Coles",-0.01,0,-0.17,-0.03,0.02,0.01,2020-02-15
"Illinois","17031","Cook",-0.05,-0.01,-0.17,-0.03,-0.02,0.01,2020-02-15
"Illinois","17033","Crawford",-0.04,0.02,-0.1,0.06,-0.04,0.01,2020-02-15
"Illinois","17035","Cumberland",-0.03,-0.07,-0.1,0.06,-0.04,0.01,2020-02-15
"Illinois","17039","De Witt",-0.03,-0.07,-0.1,-0.01,-0.04,0.01,2020-02-15
"Illinois","17037","DeKalb",-0.11,-0.13,-0.1,-0.01,-0.06,0.01,2020-02-15
"Illinois","17041","Douglas",-0.2,-0.02,-0.1,-0.01,0,0.01,2020-02-15
"Illinois","17043","DuPage",-0.05,-0.05,-0.1,-0.01,-0.04,0.01,2020-02-15
