date,state,county,categoryid,categoryname,demo,visits,avgDuration,p50Duration
2020-02-01,Alabama,,Group,Airport,Above65,1828.0,127.0,
2020-02-01,Alabama,,Group,Airport,All,34994.0,92.0,34.0
2020-02-01,Alabama,,Group,Airport,Below65,33166.0,90.0,
2020-02-01,Alabama,,Group,Alcohol,Above65,1586.0,33.0,
2020-02-01,Alabama,,Group,Alcohol,All,36445.0,39.0,9.0
2020-02-01,Alabama,,Group,Alcohol,Below65,34859.0,39.0,
2020-02-01,Alabama,,Group,Arts & Entertainment,Above65,13714.0,79.0,
2020-02-01,Alabama,,Group,Arts & Entertainment,All,246309.0,103.0,54.0
2020-02-01,Alabama,,Group,Arts & Entertainment,Below65,232595.0,104.0,
2020-02-01,Alabama,,Group,Banks,Above65,4334.0,22.0,
2020-02-01,Alabama,,Group,Banks,All,74246.0,45.0,7.0
2020-02-01,Alabama,,Group,Banks,Below65,69911.0,46.0,
2020-02-01,Alabama,,Group,Beach,Above65,2554.0,146.0,
2020-02-01,Alabama,,Group,Beach,All,12073.0,123.0,14.0
2020-02-01,Alabama,,Group,Beach,Below65,9518.0,116.0,
2020-02-01,Alabama,,Group,Big Box Stores,Above65,36602.0,37.0,
2020-02-01,Alabama,,Group,Big Box Stores,All,617217.0,37.0,25.0
2020-02-01,Alabama,,Group,Big Box Stores,Below65,580616.0,37.0,
2020-02-01,Alabama,,Group,Colleges & Universities,Above65,4962.0,109.0,
2020-02-01,Alabama,,Group,Colleges & Universities,All,223423.0,122.0,50.0
2020-02-01,Alabama,,Group,Colleges & Universities,Below65,218461.0,122.0,
2020-02-01,Alabama,,Group,Convenience Store,Above65,8305.0,38.0,
2020-02-01,Alabama,,Group,Convenience Store,All,168350.0,41.0,7.0
2020-02-01,Alabama,,Group,Convenience Store,Below65,160044.0,41.0,
2020-02-01,Alabama,,Group,Discount Stores,Above65,18582.0,30.0,
2020-02-01,Alabama,,Group,Discount Stores,All,336290.0,41.0,13.0
2020-02-01,Alabama,,Group,Discount Stores,Below65,317708.0,42.0,
2020-02-01,Alabama,,Group,Drug Store,Above65,14457.0,28.0,
2020-02-01,Alabama,,Group,Drug Store,All,179684.0,25.0,10.0
2020-02-01,Alabama,,Group,Drug Store,Below65,165227.0,24.0,
2020-02-01,Alabama,,Group,Fast Food Restaurants,Above65,37836.0,22.0,
2020-02-01,Alabama,,Group,Fast Food Restaurants,All,628616.0,26.0,9.0
2020-02-01,Alabama,,Group,Fast Food Restaurants,Below65,590780.0,26.0,
2020-02-01,Alabama,,Group,Fitness Center,Above65,6464.0,48.0,
2020-02-01,Alabama,,Group,Fitness Center,All,106141.0,65.0,47.0
2020-02-01,Alabama,,Group,Fitness Center,Below65,99676.0,66.0,
2020-02-01,Alabama,,Group,Food,Above65,118269.0,49.0,
2020-02-01,Alabama,,Group,Food,All,1978337.0,52.0,26.0
2020-02-01,Alabama,,Group,Food,Below65,1860067.0,53.0,
2020-02-01,Alabama,,Group,Gas Stations,Above65,39663.0,29.0,
2020-02-01,Alabama,,Group,Gas Stations,All,677801.0,39.0,7.0
2020-02-01,Alabama,,Group,Gas Stations,Below65,638138.0,40.0,
2020-02-01,Alabama,,Group,Government,Above65,4810.0,78.0,
2020-02-01,Alabama,,Group,Government,All,85916.0,81.0,25.0
2020-02-01,Alabama,,Group,Government,Below65,81106.0,81.0,
2020-02-01,Alabama,,Group,Grocery,Above65,55340.0,27.0,
2020-02-01,Alabama,,Group,Grocery,All,648253.0,30.0,16.0
2020-02-01,Alabama,,Group,Grocery,Below65,592913.0,30.0,
2020-02-01,Alabama,,Group,Hardware Stores,Above65,17948.0,29.0,
2020-02-01,Alabama,,Group,Hardware Stores,All,216886.0,32.0,17.0
2020-02-01,Alabama,,Group,Hardware Stores,Below65,198938.0,32.0,
2020-02-01,Alabama,,Group,Hotel,Above65,15738.0,271.0,
2020-02-01,Alabama,,Group,Hotel,All,166227.0,236.0,51.0
2020-02-01,Alabama,,Group,Hotel,Below65,150489.0,232.0,
2020-02-01,Alabama,,Group,Medical,Above65,13416.0,84.0,
2020-02-01,Alabama,,Group,Medical,All,210771.0,94.0,37.0
2020-02-01,Alabama,,Group,Medical,Below65,197355.0,95.0,
2020-02-01,Alabama,,Group,Nightlife Spots,Above65,9522.0,74.0,
2020-02-01,Alabama,,Group,Nightlife Spots,All,208126.0,98.0,56.0
2020-02-01,Alabama,,Group,Nightlife Spots,Below65,198604.0,99.0,
2020-02-01,Alabama,,Group,Office,Above65,1975.0,79.0,
2020-02-01,Alabama,,Group,Office,All,53842.0,107.0,26.0
2020-02-01,Alabama,,Group,Office,Below65,51867.0,108.0,
2020-02-01,Alabama,,Group,Outdoors & Recreation,Above65,32304.0,95.0,
2020-02-01,Alabama,,Group,Outdoors & Recreation,All,462327.0,106.0,36.0
2020-02-01,Alabama,,Group,Outdoors & Recreation,Below65,430023.0,107.0,
2020-02-01,Alabama,,Group,Professional & Other Places,Above65,20939.0,69.0,
2020-02-01,Alabama,,Group,Professional & Other Places,All,342636.0,102.0,33.0
2020-02-01,Alabama,,Group,Professional & Other Places,Below65,321697.0,104.0,
2020-02-01,Alabama,,Group,Residences,Above65,8721.0,133.0,
2020-02-01,Alabama,,Group,Residences,All,159524.0,137.0,38.0
2020-02-01,Alabama,,Group,Residences,Below65,150803.0,137.0,
2020-02-01,Alabama,,Group,School,Above65,13321.0,96.0,
2020-02-01,Alabama,,Group,School,All,294959.0,115.0,57.0
2020-02-01,Alabama,,Group,School,Below65,281638.0,116.0,
2020-02-01,Alabama,,Group,Shops & Services,Above65,103075.0,40.0,
2020-02-01,Alabama,,Group,Shops & Services,All,1591216.0,46.0,22.0
2020-02-01,Alabama,,Group,Shops & Services,Below65,1488140.0,46.0,
2020-02-01,Alabama,,Group,Spiritual Center,Above65,15705.0,85.0,
2020-02-01,Alabama,,Group,Spiritual Center,All,231282.0,100.0,48.0
2020-02-01,Alabama,,Group,Spiritual Center,Below65,215576.0,101.0,
2020-02-01,Alabama,,Group,Sports,Above65,10767.0,156.0,
2020-02-01,Alabama,,Group,Sports,All,127038.0,126.0,62.0
2020-02-01,Alabama,,Group,Sports,Below65,116271.0,123.0,
2020-02-01,Alabama,,Group,Travel & Transport,Above65,16067.0,70.0,
2020-02-01,Alabama,,Group,Travel & Transport,All,183678.0,82.0,19.0
2020-02-01,Alabama,,Group,Travel & Transport,Below65,167611.0,83.0,
2020-02-02,Alabama,,Group,Airport,Above65,2494.0,51.0,
2020-02-02,Alabama,,Group,Airport,All,42061.0,76.0,31.0
2020-02-02,Alabama,,Group,Airport,Below65,39567.0,78.0,
2020-02-02,Alabama,,Group,Alcohol,Above65,1243.0,95.0,
2020-02-02,Alabama,,Group,Alcohol,All,21714.0,61.0,9.0
2020-02-02,Alabama,,Group,Alcohol,Below65,20471.0,59.0,
2020-02-02,Alabama,,Group,Arts & Entertainment,Above65,12099.0,106.0,
2020-02-02,Alabama,,Group,Arts & Entertainment,All,232486.0,108.0,74.0
2020-02-02,Alabama,,Group,Arts & Entertainment,Below65,220387.0,109.0,
2020-02-02,Alabama,,Group,Banks,Above65,1533.0,79.0,
2020-02-02,Alabama,,Group,Banks,All,42465.0,61.0,10.0
2020-02-02,Alabama,,Group,Banks,Below65,40932.0,61.0,
2020-02-02,Alabama,,Group,Beach,Above65,3164.0,56.0,
2020-02-02,Alabama,,Group,Beach,All,18584.0,67.0,13.0
2020-02-02,Alabama,,Group,Beach,Below65,15420.0,69.0,
2020-02-02,Alabama,,Group,Big Box Stores,Above65,28510.0,38.0,
2020-02-02,Alabama,,Group,Big Box Stores,All,566230.0,36.0,23.0
2020-02-02,Alabama,,Group,Big Box Stores,Below65,537719.0,36.0,
2020-02-02,Alabama,,Group,Colleges & Universities,Above65,5590.0,82.0,
2020-02-02,Alabama,,Group,Colleges & Universities,All,210137.0,104.0,40.0
2020-02-02,Alabama,,Group,Colleges & Universities,Below65,204547.0,104.0,
2020-02-02,Alabama,,Group,Convenience Store,Above65,5767.0,38.0,
2020-02-02,Alabama,,Group,Convenience Store,All,140847.0,45.0,8.0
2020-02-02,Alabama,,Group,Convenience Store,Below65,135080.0,45.0,
2020-02-02,Alabama,,Group,Discount Stores,Above65,14293.0,38.0,
2020-02-02,Alabama,,Group,Discount Stores,All,283934.0,48.0,12.0
2020-02-02,Alabama,,Group,Discount Stores,Below65,269641.0,48.0,
2020-02-02,Alabama,,Group,Drug Store,Above65,7675.0,35.0,
2020-02-02,Alabama,,Group,Drug Store,All,132142.0,31.0,10.0
2020-02-02,Alabama,,Group,Drug Store,Below65,124467.0,30.0,
2020-02-02,Alabama,,Group,Fast Food Restaurants,Above65,22594.0,25.0,
2020-02-02,Alabama,,Group,Fast Food Restaurants,All,464976.0,28.0,9.0
2020-02-02,Alabama,,Group,Fast Food Restaurants,Below65,442381.0,28.0,
2020-02-02,Alabama,,Group,Fitness Center,Above65,4013.0,95.0,
2020-02-02,Alabama,,Group,Fitness Center,All,72189.0,81.0,49.0
2020-02-02,Alabama,,Group,Fitness Center,Below65,68175.0,81.0,
2020-02-02,Alabama,,Group,Food,Above65,104709.0,49.0,
2020-02-02,Alabama,,Group,Food,All,1719486.0,55.0,27.0
2020-02-02,Alabama,,Group,Food,Below65,1614777.0,55.0,
2020-02-02,Alabama,,Group,Gas Stations,Above65,29357.0,45.0,
2020-02-02,Alabama,,Group,Gas Stations,All,593448.0,44.0,7.0
2020-02-02,Alabama,,Group,Gas Stations,Below65,564092.0,44.0,
2020-02-02,Alabama,,Group,Government,Above65,4490.0,115.0,
2020-02-02,Alabama,,Group,Government,All,77233.0,102.0,38.0
2020-02-02,Alabama,,Group,Government,Below65,72742.0,101.0,
2020-02-02,Alabama,,Group,Grocery,Above65,47911.0,25.0,
2020-02-02,Alabama,,Group,Grocery,All,653608.0,29.0,15.0
2020-02-02,Alabama,,Group,Grocery,Below65,605698.0,29.0,
2020-02-02,Alabama,,Group,Hardware Stores,Above65,11865.0,29.0,
2020-02-02,Alabama,,Group,Hardware Stores,All,158709.0,33.0,16.0
2020-02-02,Alabama,,Group,Hardware Stores,Below65,146843.0,33.0,
2020-02-02,Alabama,,Group,Hotel,Above65,16207.0,247.0,
2020-02-02,Alabama,,Group,Hotel,All,164499.0,239.0,67.0
2020-02-02,Alabama,,Group,Hotel,Below65,148292.0,239.0,
2020-02-02,Alabama,,Group,Medical,Above65,10336.0,105.0,
2020-02-02,Alabama,,Group,Medical,All,183229.0,111.0,44.0
2020-02-02,Alabama,,Group,Medical,Below65,172893.0,112.0,
2020-02-02,Alabama,,Group,Nightlife Spots,Above65,8821.0,131.0,
2020-02-02,Alabama,,Group,Nightlife Spots,All,203345.0,110.0,60.0
2020-02-02,Alabama,,Group,Nightlife Spots,Below65,194524.0,109.0,
2020-02-02,Alabama,,Group,Office,Above65,1734.0,75.0,
2020-02-02,Alabama,,Group,Office,All,45954.0,86.0,26.0
2020-02-02,Alabama,,Group,Office,Below65,44221.0,87.0,
2020-02-02,Alabama,,Group,Outdoors & Recreation,Above65,34729.0,80.0,
2020-02-02,Alabama,,Group,Outdoors & Recreation,All,498860.0,105.0,41.0
2020-02-02,Alabama,,Group,Outdoors & Recreation,Below65,464132.0,107.0,
2020-02-02,Alabama,,Group,Professional & Other Places,Above65,13951.0,84.0,
2020-02-02,Alabama,,Group,Professional & Other Places,All,276233.0,107.0,39.0
2020-02-02,Alabama,,Group,Professional & Other Places,Below65,262282.0,108.0,
2020-02-02,Alabama,,Group,Residences,Above65,8892.0,120.0,
2020-02-02,Alabama,,Group,Residences,All,158143.0,135.0,39.0
2020-02-02,Alabama,,Group,Residences,Below65,149251.0,136.0,
2020-02-02,Alabama,,Group,School,Above65,10589.0,106.0,
2020-02-02,Alabama,,Group,School,All,230802.0,113.0,52.0
2020-02-02,Alabama,,Group,School,Below65,220213.0,114.0,
2020-02-02,Alabama,,Group,Shops & Services,Above65,53133.0,43.0,
2020-02-02,Alabama,,Group,Shops & Services,All,1009569.0,49.0,21.0
2020-02-02,Alabama,,Group,Shops & Services,Below65,956437.0,49.0,
2020-02-02,Alabama,,Group,Spiritual Center,Above65,55294.0,126.0,
2020-02-02,Alabama,,Group,Spiritual Center,All,558627.0,119.0,90.0
2020-02-02,Alabama,,Group,Spiritual Center,Below65,503333.0,118.0,
2020-02-02,Alabama,,Group,Sports,Above65,13370.0,120.0,
2020-02-02,Alabama,,Group,Sports,All,122707.0,121.0,74.0
2020-02-02,Alabama,,Group,Sports,Below65,109337.0,122.0,
2020-02-02,Alabama,,Group,Travel & Transport,Above65,11935.0,103.0,
2020-02-02,Alabama,,Group,Travel & Transport,All,173713.0,90.0,25.0
2020-02-02,Alabama,,Group,Travel & Transport,Below65,161777.0,89.0,
2020-02-03,Alabama,,Group,Airport,Above65,2780.0,171.0,
2020-02-03,Alabama,,Group,Airport,All,53233.0,95.0,44.0
2020-02-03,Alabama,,Group,Airport,Below65,50453.0,91.0,
2020-02-03,Alabama,,Group,Alcohol,Above65,2812.0,35.0,
2020-02-03,Alabama,,Group,Alcohol,All,28424.0,50.0,15.0
2020-02-03,Alabama,,Group,Alcohol,Below65,25612.0,51.0,
2020-02-03,Alabama,,Group,Arts & Entertainment,Above65,11995.0,90.0,
2020-02-03,Alabama,,Group,Arts & Entertainment,All,178894.0,86.0,31.0
2020-02-03,Alabama,,Group,Arts & Entertainment,Below65,166900.0,85.0,
2020-02-03,Alabama,,Group,Banks,Above65,9203.0,22.0,
2020-02-03,Alabama,,Group,Banks,All,125119.0,34.0,7.0
2020-02-03,Alabama,,Group,Banks,Below65,115916.0,35.0,
2020-02-03,Alabama,,Group,Beach,Above65,3581.0,166.0,
2020-02-03,Alabama,,Group,Beach,All,16259.0,133.0,34.0
2020-02-03,Alabama,,Group,Beach,Below65,12679.0,124.0,
2020-02-03,Alabama,,Group,Big Box Stores,Above65,33836.0,36.0,
2020-02-03,Alabama,,Group,Big Box Stores,All,402301.0,38.0,21.0
2020-02-03,Alabama,,Group,Big Box Stores,Below65,368464.0,38.0,
2020-02-03,Alabama,,Group,Colleges & Universities,Above65,10081.0,66.0,
2020-02-03,Alabama,,Group,Colleges & Universities,All,549644.0,115.0,60.0
2020-02-03,Alabama,,Group,Colleges & Universities,Below65,539563.0,116.0,
2020-02-03,Alabama,,Group,Convenience Store,Above65,9705.0,38.0,
2020-02-03,Alabama,,Group,Convenience Store,All,153466.0,39.0,8.0
2020-02-03,Alabama,,Group,Convenience Store,Below65,143762.0,39.0,
2020-02-03,Alabama,,Group,Discount Stores,Above65,18975.0,49.0,
2020-02-03,Alabama,,Group,Discount Stores,All,251936.0,45.0,12.0
2020-02-03,Alabama,,Group,Discount Stores,Below65,232961.0,44.0,
2020-02-03,Alabama,,Group,Drug Store,Above65,14027.0,24.0,
2020-02-03,Alabama,,Group,Drug Store,All,161187.0,29.0,10.0
2020-02-03,Alabama,,Group,Drug Store,Below65,147159.0,29.0,
2020-02-03,Alabama,,Group,Fast Food Restaurants,Above65,35742.0,23.0,
2020-02-03,Alabama,,Group,Fast Food Restaurants,All,505605.0,28.0,8.0
2020-02-03,Alabama,,Group,Fast Food Restaurants,Below65,469863.0,28.0,
2020-02-03,Alabama,,Group,Fitness Center,Above65,11121.0,66.0,
2020-02-03,Alabama,,Group,Fitness Center,All,119593.0,70.0,45.0
2020-02-03,Alabama,,Group,Fitness Center,Below65,108472.0,71.0,
2020-02-03,Alabama,,Group,Food,Above65,125323.0,41.0,
2020-02-03,Alabama,,Group,Food,All,1420656.0,49.0,19.0
2020-02-03,Alabama,,Group,Food,Below65,1295334.0,50.0,
2020-02-03,Alabama,,Group,Gas Stations,Above65,45471.0,29.0,
2020-02-03,Alabama,,Group,Gas Stations,All,657075.0,36.0,7.0
2020-02-03,Alabama,,Group,Gas Stations,Below65,611604.0,37.0,
2020-02-03,Alabama,,Group,Government,Above65,13550.0,63.0,
2020-02-03,Alabama,,Group,Government,All,191670.0,89.0,28.0
2020-02-03,Alabama,,Group,Government,Below65,178120.0,91.0,
2020-02-03,Alabama,,Group,Grocery,Above65,47462.0,27.0,
2020-02-03,Alabama,,Group,Grocery,All,455042.0,33.0,14.0
2020-02-03,Alabama,,Group,Grocery,Below65,407580.0,34.0,
2020-02-03,Alabama,,Group,Hardware Stores,Above65,18046.0,31.0,
2020-02-03,Alabama,,Group,Hardware Stores,All,153789.0,37.0,15.0
2020-02-03,Alabama,,Group,Hardware Stores,Below65,135742.0,38.0,
2020-02-03,Alabama,,Group,Hotel,Above65,16972.0,107.0,
2020-02-03,Alabama,,Group,Hotel,All,140133.0,142.0,28.0
2020-02-03,Alabama,,Group,Hotel,Below65,123160.0,147.0,
2020-02-03,Alabama,,Group,Medical,Above65,50704.0,72.0,
2020-02-03,Alabama,,Group,Medical,All,540863.0,88.0,44.0
2020-02-03,Alabama,,Group,Medical,Below65,490159.0,90.0,
2020-02-03,Alabama,,Group,Nightlife Spots,Above65,10148.0,71.0,
2020-02-03,Alabama,,Group,Nightlife Spots,All,126237.0,90.0,32.0
2020-02-03,Alabama,,Group,Nightlife Spots,Below65,116089.0,92.0,
2020-02-03,Alabama,,Group,Office,Above65,8589.0,91.0,
2020-02-03,Alabama,,Group,Office,All,159950.0,127.0,45.0
2020-02-03,Alabama,,Group,Office,Below65,151361.0,129.0,
2020-02-03,Alabama,,Group,Outdoors & Recreation,Above65,39365.0,84.0,
2020-02-03,Alabama,,Group,Outdoors & Recreation,All,457768.0,94.0,30.0
2020-02-03,Alabama,,Group,Outdoors & Recreation,Below65,418404.0,95.0,
2020-02-03,Alabama,,Group,Professional & Other Places,Above65,36954.0,56.0,
2020-02-03,Alabama,,Group,Professional & Other Places,All,517209.0,89.0,25.0
2020-02-03,Alabama,,Group,Professional & Other Places,Below65,480255.0,92.0,
2020-02-03,Alabama,,Group,Residences,Above65,9854.0,69.0,
2020-02-03,Alabama,,Group,Residences,All,149893.0,98.0,27.0
2020-02-03,Alabama,,Group,Residences,Below65,140039.0,100.0,
2020-02-03,Alabama,,Group,School,Above65,20533.0,68.0,
2020-02-03,Alabama,,Group,School,All,446724.0,113.0,24.0
2020-02-03,Alabama,,Group,School,Below65,426191.0,115.0,
2020-02-03,Alabama,,Group,Shops & Services,Above65,118493.0,36.0,
2020-02-03,Alabama,,Group,Shops & Services,All,1174171.0,46.0,17.0
2020-02-03,Alabama,,Group,Shops & Services,Below65,1055678.0,47.0,
2020-02-03,Alabama,,Group,Spiritual Center,Above65,20114.0,68.0,
2020-02-03,Alabama,,Group,Spiritual Center,All,234474.0,84.0,22.0
2020-02-03,Alabama,,Group,Spiritual Center,Below65,214360.0,85.0,
2020-02-03,Alabama,,Group,Sports,Above65,19471.0,98.0,
2020-02-03,Alabama,,Group,Sports,All,127035.0,93.0,35.0
2020-02-03,Alabama,,Group,Sports,Below65,107564.0,92.0,
2020-02-03,Alabama,,Group,Travel & Transport,Above65,19564.0,52.0,
2020-02-03,Alabama,,Group,Travel & Transport,All,199535.0,69.0,17.0
2020-02-03,Alabama,,Group,Travel & Transport,Below65,179972.0,71.0,
2020-02-04,Alabama,,Group,Airport,Above65,3626.0,67.0,
2020-02-04,Alabama,,Group,Airport,All,55321.0,92.0,46.0
2020-02-04,Alabama,,Group,Airport,Below65,51695.0,94.0,
2020-02-04,Alabama,,Group,Alcohol,Above65,1926.0,36.0,
2020-02-04,Alabama,,Group,Alcohol,All,26788.0,59.0,14.0
2020-02-04,Alabama,,Group,Alcohol,Below65,24862.0,61.0,
2020-02-04,Alabama,,Group,Arts & Entertainment,Above65,12046.0,66.0,
2020-02-04,Alabama,,Group,Arts & Entertainment,All,178769.0,85.0,36.0
2020-02-04,Alabama,,Group,Arts & Entertainment,Below65,166724.0,87.0,
2020-02-04,Alabama,,Group,Banks,Above65,10676.0,24.0,
2020-02-04,Alabama,,Group,Banks,All,108636.0,36.0,8.0
2020-02-04,Alabama,,Group,Banks,Below65,97960.0,38.0,
2020-02-04,Alabama,,Group,Beach,Above65,3213.0,73.0,
2020-02-04,Alabama,,Group,Beach,All,13725.0,97.0,21.0
2020-02-04,Alabama,,Group,Beach,Below65,10512.0,104.0,
2020-02-04,Alabama,,Group,Big Box Stores,Above65,32834.0,35.0,
2020-02-04,Alabama,,Group,Big Box Stores,All,407486.0,36.0,20.0
2020-02-04,Alabama,,Group,Big Box Stores,Below65,374651.0,36.0,
2020-02-04,Alabama,,Group,Bus,Above65,577.0,70.0,
2020-02-04,Alabama,,Group,Bus,All,8320.0,75.0,26.0
2020-02-04,Alabama,,Group,Bus,Below65,7744.0,75.0,
2020-02-04,Alabama,,Group,Colleges & Universities,Above65,7696.0,82.0,
2020-02-04,Alabama,,Group,Colleges & Universities,All,556514.0,116.0,70.0
2020-02-04,Alabama,,Group,Colleges & Universities,Below65,548819.0,116.0,
2020-02-04,Alabama,,Group,Convenience Store,Above65,9178.0,41.0,
2020-02-04,Alabama,,Group,Convenience Store,All,153282.0,37.0,8.0
2020-02-04,Alabama,,Group,Convenience Store,Below65,144104.0,37.0,
2020-02-04,Alabama,,Group,Discount Stores,Above65,17808.0,38.0,
2020-02-04,Alabama,,Group,Discount Stores,All,254739.0,41.0,12.0
2020-02-04,Alabama,,Group,Discount Stores,Below65,236931.0,41.0,
2020-02-04,Alabama,,Group,Drug Store,Above65,17000.0,18.0,
2020-02-04,Alabama,,Group,Drug Store,All,172907.0,27.0,10.0
2020-02-04,Alabama,,Group,Drug Store,Below65,155907.0,28.0,
